bn:00113968a	yellow|黄
bn:00111016a	round|圆
bn:00107260a	Kind|类型 expression|词语
bn:00103672a	HighQuality|优质
bn:00106831a	present|现在 time|时间
bn:00098123a	passionate|有情 emotion|情感 affected|矫揉造作
bn:00103722a	regulation|规矩 language|语言
bn:00099146a	quiet|静 calm|镇静
bn:00111286a	plans|规划 military|军 important|重要
bn:00103363a	InFront|前
bn:00110115a	satisfied|满意
bn:00100230a	classified|机密 covert|隐秘
bn:00100218a	meritorious|有功劳
bn:00106080a	true|真 active|积极 sturdy|健壮 nimble|捷
bn:00099082a	complicated|繁
bn:00106333a	primary|主
bn:00104406a	RelatingToCountry|与特定国家相关 Hungary|匈牙利
bn:00108574a	knowledge|知识 animate|生物 physiology|生理学
bn:00100214a	PropertyValue|特性值 depend|依靠 Circumstances|境况 entity|实体
bn:00101186a	reliable|可靠
bn:00110101a	unfriendly|不友善 mock|嘲讽
bn:00102300a	TimeShort|短时间 Age|年龄 animate|生物
bn:00096169a	StageEarly|早期 original|原
bn:00096387a	active|积极
bn:00104179a	HighRank|高等 GreaterThanNormal|高于正常
bn:00104007a	dangerous|危
bn:00096934a	vague|含混 information|信息
bn:00099038a	able|能 lighting|点燃
bn:00099561a	place|地方 Russia|俄罗斯 ProperName|专 human|人
bn:00103788a	unripe|未成熟 neg|否 unprocessed|未加工 PropertyValue|特性值
bn:00096246a	able|能 accept|接受
bn:00111674a	tight|紧
bn:00099743a	covert|隐秘 location|位置 land|陆地 beneath|下
bn:00104223a	fact|事情 past|过去 important|重要
bn:00099615a	RelatingToCountry|与特定国家相关 Taiwan|台湾 China|中国 PatternValue|样式值
bn:00096292a	accurate|精确 correct|正确
bn:00098857a	bright|明
bn:00104646a	BestQuality|最佳 neg|否
bn:00108544a	knowledge|知识 language|语言
bn:00098020a	disadvantageous|有弊 able|能 kill|杀害 antagonistic|不容 extreme|极
bn:00111167a	calculate|计算
bn:00099988a	indifferent|冷漠
bn:00102895a	wild|野生 fierce|暴
bn:00104655a	temporary|临时 permanent|永久性 neg|否 TimeLength|久暂 Timing|时间特性
bn:00098213a	RelatingToCountry|与特定国家相关 Belgium|比利时
bn:00109077a	profound|深奥 deep|深 perceptive|深刻
bn:00102235a	active|积极 sturdy|健壮
bn:00103349a	cold|冷 PropertyValue|特性值
bn:00100152a	FreeOfCharge|免费
bn:00099089a	euphonious|好听 neg|否
bn:00104343a	antagonistic|不容
bn:00102729a	faithful|忠
bn:00100759a	artificial|人为
bn:00097512a	eccentric|僻 queer|怪 disease|疾病 mad|疯痴
bn:00105539a	collective|集体的 connect|连接
bn:00106404a	artificial|人为 manual|非自动 ProcessingStateValue|加工状况值 produce|制造
bn:00102580a	PerformanceValue|性能值 CauseToDo|使动 InfoElement|信息元素 experiment|实验 try|尝试
bn:00105748a	permanent|永久性 TimeLong|长时间
bn:00101752a	beneath|下 GoDown|下去
bn:00108567a	physical|物质 knowledge|知识 physics|物理 Physique|体格
bn:00098312a	drink|喝 alcohol|酒
bn:00104701a	attractive|诱人
bn:00108252a	symbol|符号 math|数学 constant|恒定 Quantity|数量
bn:00099539a	Performance|性能 physics|物理 attract|吸引
bn:00103424a	elementary|初等
bn:00105977a	alike|似
bn:00100024a	place|地方 politics|政 control|控制
bn:00100313a	regressive|落后 stiff|呆
bn:00096309a	emotion|情感 jealous|妒忌
bn:00096993a	able|能 function|活动 land|陆地 waters|水域
bn:00110647a	alike|似
bn:00111667a	GoodTaste|好吃 tasteful|有味
bn:00113562a	young|青年 time|时间 child|少儿 AgeYounger|龄小
bn:00104162a	GreaterThanNormal|高于正常 high|高
bn:00106412a	various|多种 mixed|杂
bn:00098274a	BestQuality|最佳
bn:00101840a	unfriendly|不友善 mock|嘲讽
bn:00099529a	disappointed|失望 disheartened|灰心
bn:00100622a	creative|有创意
bn:00105314a	PositioningValue|方位特性值 celestial|天体
bn:00108189a	dark|暗
bn:00097588a	slanted|歪
bn:00111285a	plans|规划 military|军 important|重要
bn:00097108a	EmotionalityValue|感情特性值 angry|生气 fierce|暴
bn:00103623a	StateChange|态变 bright|明 polished|光
bn:00101665a	tired|疲乏 over|超
bn:00107267a	new|新 recent|新近
bn:00099441a	central|归属中央 centre|中位 important|重要 location|位置
bn:00097801a	lonely|孤 eccentric|僻 phenomena|现象 medical|医 disease|疾病
bn:00096106a	BestQuality|最佳 GreaterThanNormal|高于正常 most|最 HighRank|高等 extraordinary|不凡 fantastic|非常好
bn:00110075a	alike|似
bn:00097181a	early|早
bn:00097861a	able|能 possible|会 escape|躲避
bn:00107177a	neat|齐 tidy|整洁 InSequence|有序
bn:00101309a	asynchronous|异步 fact|事情 past|过去
bn:00111409a	effective|有效 succeed|成功
bn:00112067a	transmit|传送
bn:00103134a	StateLiquid|液态 PhysicState|物理状态 physics|物理 physical|物质 fluent|畅 speak|说 SelfMove|自移 polished|光 easy|易 level|平
bn:00096195a	extreme|极 complete|整
bn:00100206a	concrete|具体 specific|特定
bn:00113877a	voluntary|自愿
bn:00102487a	accurate|精确 true|真
bn:00109411a	CircumstancesValue|境况值 WeatherBad|坏天 RainSnow|雨雪
bn:00096456a	location|位置 near|近 connect|连接 BeNear|靠近
bn:00097477a	metal|金属 chemistry|化学 PropertyValue|特性值
bn:00110401a	senior|长辈 HighRank|高等
bn:00110856a	human|人 Greece|希腊 ProperName|专 knowledge|知识
bn:00107232a	part|部件 nerve|络 physiology|生理学 AnimalHuman|动物
bn:00106246a	lascivious|淫
bn:00096830a	disease|疾病
bn:00104630a	impossible|不会 cross|越过 difficult|难 GoThrough|经过 unable|庸
bn:00096873a	far|远 distant|疏远
bn:00105083a	powerful|有威力
bn:00109998a	place|地方 village|乡
bn:00097366a	GoodTaste|好吃
bn:00102589a	lucid|清晰
bn:00113030a	PoorTaste|难吃 tasteless|无味
bn:00098464a	bitter|苦 Taste|味道
bn:00099147a	hot|热 Heat|热量
bn:00104893a	BecomeMore|增多 Quantity|数量
bn:00101347a	different|异 discordant|不一致
bn:00096663a	EmotionalityValue|感情特性值 fear|害怕 suffer|遭受 frighten|吓唬
bn:00100827a	part|部件 skin|皮 physiology|生理学 AnimalHuman|动物
bn:00101935a	early|早 StageEarly|早期
bn:00109741a	respire|呼吸 physiology|生理学
bn:00099838a	TimingValue|时间特性值 medical|医 doctor|医治
bn:00111596a	knowledge|知识 language|语言
bn:00103975a	advantageous|有利
bn:00098209a	yellow|黄 brown|褐
bn:00096176a	specific|特定
bn:00110518a	sharp|利
bn:00104777a	inanimate|无生命
bn:00102216a	physical|物质
bn:00107144a	native|本土
bn:00104423a	PerformanceValue|性能值 CauseToDo|使动 water|水
bn:00100315a	many|多
bn:00103545a	knowledge|知识 math|数学
bn:00102049a	effective|有效
bn:00106999a	blurred|浑 dirty|龊
bn:00097829a	BeIndependent|独立 self|己
bn:00109715a	house|房屋 reside|住下
bn:00107803a	green|绿
bn:00100724a	original|原 vulgar|俗 StageEarly|早期 crude|陋 coarse|糙 unprocessed|未加工
bn:00096122a	DirectioningValue|方向特性值
bn:00113947a	worth|值得
bn:00108965a	prepare|准备 ready|有准备
bn:00109549a	recreation|娱乐 interesting|趣
bn:00110843a	associate|交往 group|群体 collective|集体的
bn:00111713a	time|时间 present|现在 specific|特定
bn:00096545a	antagonistic|不容 disadvantageous|有弊 discordant|不一致 inauspicuous|不祥
bn:00097234a	able|能 obstruct|阻止
bn:00113346a	translate|翻译
bn:00107300a	RelatingToCountry|与特定国家相关 Nigeria|尼日利亚 Niger|尼日尔
bn:00096323a	colorless|无色
bn:00097388a	able|能 urge|促使 appreciate|赞成
bn:00097093a	angry|生气 fierce|暴
bn:00112229a	TimingValue|时间特性值 ending|末 last|最后
bn:00108650a	pure|纯 simple|简 plain|素
bn:00098590a	AppearanceValue|外观值 BodyFluid|体液
bn:00096171a	fail|失败 ineffective|无效果 Vfail|未达成
bn:00098222a	fight|争斗
bn:00097031a	restrain|制止 painful|疼痛 medical|医
bn:00107786a	aged|老年 TimeLong|长时间 Age|年龄 senior|长辈 AgeOlder|龄大
bn:00096660a	active|积极
bn:00099810a	WeatherFine|好天 bright|明 clear|清
bn:00096922a	passionate|有情
bn:00105782a	extravagant|奢 generous|慷
bn:00104387a	human|人
bn:00108944a	past|过去
bn:00108986a	human|人 Occupation|职位 politics|政 HeadOfState|元首 manage|管理
bn:00102999a	resolute|坚决 powerful|有威力 strong|强
bn:00100839a	circulate|循环
bn:00100089a	convenient|便 broad|广
bn:00103783a	BestQuality|最佳 HighRank|高等 most|最 extreme|极
bn:00108539a	sound|声 language|语言
bn:00097228a	backward|反向
bn:00105289a	interrupted|间断
bn:00106242a	faithful|忠
bn:00107151a	NaturalThing|天然物 natural|天然
bn:00108815a	PatternValue|样式值 able|能 bring|携带 transmit|传送
bn:00108990a	glorious|荣
bn:00107714a	permanent|永久性 Occupation|职位
bn:00104681a	important|重要
bn:00101599a	disgust|厌恶 PoorTaste|难吃
bn:00104707a	unlawful|非法 prohibit|禁止 improper|不当
bn:00105714a	RelatingToCountry|与特定国家相关 Laos|老挝
bn:00113929a	material|材料 hair|毛 livestock|牲畜 clothing|衣物
bn:00096747a	knowledge|知识
bn:00100064a	able|能 eat|吃
bn:00097844a	able|能
bn:00108670a	flexible|活
bn:00101681a	family|家庭
bn:00097938a	hind|后
bn:00104899a	impossible|不会 ill|病态
bn:00110682a	only|仅 unique|独特 alone|独自 lonely|孤
bn:00102038a	effective|有效 able|能
bn:00107275a	recent|新近
bn:00100433a	able|能 urge|促使 believe|相信
bn:00098748a	AttachmentValue|归属值 stone|土石 many|多
bn:00099970a	continuous|连续
bn:00097939a	hind|后
bn:00106355a	BehaviorValue|举止值 male|男
bn:00104400a	wet|湿
bn:00106593a	fake|伪
bn:00108011a	other|另
bn:00103905a	ProcessingStateValue|加工状况值 produce|制造 hand|手 human|人
bn:00102248a	RelatingToCountry|与特定国家相关 UK|英国
bn:00104433a	intimate|亲密 water|水
bn:00109632a	regular|定期 Frequency|频度 habitual|习惯性 ordinary|普通 normal|正常 formal|正式
bn:00101007a	able|能 deceive|欺骗
bn:00113812a	west|西 location|位置
bn:00096531a	complicated|繁 progressive|先进 profound|深奥
bn:00106506a	ripe|成熟 able|能
bn:00106892a	PropertyValue|特性值 language|语言 single|单
bn:00096765a	RelatingToCountry|与特定国家相关 Algeria|阿尔及利亚
bn:00107197a	wicked|歹 vicious|罪恶 fierce|暴 despicable|卑劣 guilty|有罪 extreme|极
bn:00113852a	complete|整
bn:00098891a	wide|阔
bn:00097072a	RelatingToCountry|与特定国家相关 Andorra|安道尔
bn:00104253a	native|本土
bn:00096127a	part|部件 physiology|生理学 body|身 AnimalHuman|动物
bn:00096890a	doctor|医治 medical|医
bn:00101429a	dirty|龊
bn:00105131a	internal|内 location|位置
bn:00101581a	antagonistic|不容 politics|政 unorthodox|非正统
bn:00100041a	boring|乏 colorless|无色
bn:00107274a	new|新 child|少儿 young|青年 AgeYounger|龄小
bn:00096430a	Attitude|态度 attentive|专注
bn:00102576a	HighRank|高等 expensive|贵 commerce|商业 precious|珍
bn:00099577a	knowledge|知识 chemical|化学物 chemistry|化学
bn:00099476a	believe|相信 true|真
bn:00101967a	location|位置 east|东
bn:00101788a	grand|壮观
bn:00108931a	able|能 predict|预料
bn:00109377a	tribe|族群
bn:00097880a	understand|领会 PayAttention|注意
bn:00100753a	human|人 entertainment|艺
bn:00109875a	strict|严格 severe|严厉
bn:00111524a	surprise|惊奇
bn:00113625a	bacteria|微生物
bn:00099753a	classic|经典
bn:00097589a	sleep|睡
bn:00101137a	ardent|热情 enjoy|享受 excited|激动
bn:00096722a	stuffy|闷
bn:00103564a	RelatingToCountry|与特定国家相关
bn:00097470a	effortful|费力 difficult|难 heavy|重
bn:00107322a	noble|高尚 HighRank|高等
bn:00101741a	doubt|怀疑 queer|怪
bn:00096466a	able|能 adjust|调整
bn:00100441a	chilly|凉 cold|冷
bn:00105787a	true|真 lawful|合法
bn:00113200a	wicked|歹 shameless|没羞
bn:00104396a	modest|谦
bn:00106056a	RelatingToCountry|与特定国家相关 Lithuania|立陶宛
bn:00111370a	biased|不公正
bn:00103419a	able|能 PropertyValue|特性值 handle|处理
bn:00101391a	Size|尺寸
bn:00102521a	possible|会 fulfil|实现 able|能 conduct|实施
bn:00096816a	wholly|全面 complete|整 end|终结
bn:00100519a	physiology|生理学
bn:00113864a	extensive|泛
bn:00099143a	FormValue|形状值
bn:00107942a	eat|吃 part|部件 mouth|口 physiology|生理学 speak|说
bn:00100465a	FormValue|形状值
bn:00104811a	guilty|有罪 mating|交配
bn:00098661a	brave|勇
bn:00106755a	most|最 small|小
bn:00096263a	accidental|偶发 unintentional|无意
bn:00096625a	fear|害怕
bn:00096535a	advantageous|有利
bn:00104144a	PropertyValue|特性值 deduce|推理
bn:00113549a	Property|特性 language|语言 speak|说
bn:00100186a	collective|集体的 concentrated|稠
bn:00096878a	InSequence|有序
bn:00101919a	time|时间 dynasty|朝代
bn:00099162a	RelatingToCountry|与特定国家相关 Cameroon|喀麦隆
bn:00107323a	noble|高尚 HighRank|高等
bn:00101192a	depend|依靠 AttachmentValue|归属值
bn:00102282a	knowledge|知识 InsectWorm|虫
bn:00103357a	active|积极 interesting|趣 strong|强
bn:00099916a	simultaneous|同步 accordant|一致
bn:00096751a	PropertyValue|特性值 chemical|化学物
bn:00102943a	strong|强 fierce|暴 BehaviorValue|举止值
bn:00107028a	various|多种
bn:00105664a	complicated|繁
bn:00102113a	big|大
bn:00103997a	wicked|歹 aspiration|意愿 despicable|卑劣 disgust|厌恶
bn:00096720a	clean|使净 gas|气
bn:00103171a	specific|特定
bn:00103264a	FormValue|形状值 part|部件 foot|脚 animal|兽
bn:00098342a	GreaterThanNormal|高于正常 big|大 great|伟 many|多
bn:00101997a	true|真 reliable|可靠
bn:00097733a	bewitching|妖媚 attractive|诱人
bn:00109358a	quiet|静 peaceful|宁
bn:00102950a	RelatingToCountry|与特定国家相关 Fiji|斐济
bn:00100895a	dangerous|危 safe|安 neg|否 venture|冒险
bn:00103299a	free|自由
bn:00096565a	location|位置 sky|空域
bn:00102799a	fashionable|时髦 flourishing|兴
bn:00100374a	earth|大地 PropertyValue|特性值 land|陆地
bn:00102871a	community|团体 collective|集体的 ally|结盟
bn:00106403a	manual|非自动 ProcessingStateValue|加工状况值 hand|手 human|人
bn:00106021a	language|语言
bn:00098151a	magnificent|灿烂 illuminate|照射 bright|明
bn:00106520a	insubstantial|空洞 negligible|渺 superficial|浅薄 few|少
bn:00100319a	able|能 BeRecovered|复原
bn:00102884a	female|女 feminine|与女性相关
bn:00104206a	interesting|趣 noisy|嘈杂
bn:00105119a	StageEarly|早期 original|原
bn:00100375a	earth|大地 PropertyValue|特性值 land|陆地
bn:00106679a	place|地方 city|市 primary|主
bn:00106928a	moral|有道德 mental|精神
bn:00109659a	relevant|相关
bn:00106006a	extensive|泛 free|自由
bn:00105269a	InBetween|之间 land|陆地
bn:00097466a	cold|冷 extreme|极
bn:00104424a	PerformanceValue|性能值 CauseToDo|使动 water|水 machine|机器 Strength|力量 press|按压
bn:00105279a	location|位置 celestial|天体 InBetween|之间
bn:00107926a	antagonistic|不容 oppose|反对
bn:00096755a	PayAttention|注意
bn:00106558a	ordinary|普通 intermediate|中等 mediocre|可 medium|中 unable|庸
bn:00108977a	time|时间 present|现在 specific|特定
bn:00098224a	intimate|亲密
bn:00103283a	incomplete|缺 fragment|部
bn:00099670a	PatternValue|样式值 text|语文 Sequence|次序
bn:00097204a	knowledge|知识 human|人
bn:00102508a	excited|激动
bn:00099435a	time|时间 festival|节 day|日 congratulate|祝贺
bn:00113958a	FormValue|形状值 write|写
bn:00096384a	active|积极 animate|有生命
bn:00102876a	frail|单弱 irresolute|不坚决 powerless|无威力 weak|弱 phenomena|现象
bn:00106642a	dirty|龊 inconsistent|没条理 disorder|乱
bn:00106614a	fierce|暴 wicked|歹
bn:00097480a	RelatingToCountry|与特定国家相关 Argentina|阿根廷
bn:00101358a	difficult|难 hard|硬
bn:00105845a	community|团体 politics|政 left|左
bn:00109157a	arrogant|傲 cherish|心怀 glorious|荣 satisfied|满意
bn:00099012a	cheap|贱 inferior|劣质
bn:00098876a	salty|咸 processed|已加工
bn:00104971a	individual|分别的 pure|纯 single|单 unmarried|未婚
bn:00097147a	disgust|厌恶 upset|烦恼 ExpressDissatisfaction|示不满
bn:00099735a	WellBred|有教养 polite|有礼 gracious|雅 group|群体 collective|集体的
bn:00097039a	analyze|分析
bn:00100203a	last|最后 TimingValue|时间特性值 ending|末 Timing|时间特性
bn:00100676a	serious|严重 important|重要 dangerous|危
bn:00100744a	lucid|清晰 clear|清
bn:00109124a	GeoRegular|形状规则
bn:00110743a	fine|纤 bony|瘦 thin|薄
bn:00106674a	careful|细心
bn:00097179a	south|南 earth|大地
bn:00097890a	able|能 urge|促使 fear|害怕
bn:00111084a	square|方 planar|面
bn:00099329a	FrequencyValue|频度值 time|时间 day|日
bn:00100974a	indifferent|冷漠
bn:00102162a	EmotionalityValue|感情特性值 feeling|情绪 emotion|情感
bn:00103262a	AmountValue|多少值
bn:00108838a	hind|后
bn:00103172a	specific|特定
bn:00111530a	able|能 GoOn|继续
bn:00096274a	possible|会 fulfil|实现
bn:00098708a	boring|乏 slow|慢 NotQuick|讷 tired|疲乏 trivial|琐 blunt|钝
bn:00113948a	worth|值得 precious|珍
bn:00099943a	miser|吝 thin|薄 FormValue|形状值 clear|清 steep|陡 wholly|全面 bright|明
bn:00100975a	disable|残疾 listen|听
bn:00111054a	speak|说
bn:00110997a	special|特别
bn:00101724a	KindValue|类型值 double|复
bn:00100783a	ordinary|普通 expect|期望 eccentric|僻 special|特别 BestQuality|最佳 interesting|趣 fishy|疑似
bn:00103627a	glorious|荣
bn:00100062a	easy|易 lighting|点燃
bn:00101411a	direct|直接 PropertyValue|特性值
bn:00102948a	expression|词语 CompareTo|比拟
bn:00100341a	advantageous|有利
bn:00105848a	lawful|合法 law|律法
bn:00110844a	group|群体 collective|集体的 associate|交往
bn:00096591a	amiable|友善 happy|幸福 earnest|诚心 warm|温
bn:00105276a	interesting|趣
bn:00113284a	FormValue|形状值
bn:00096461a	secondary|次
bn:00098854a	TimeShort|短时间
bn:00107057a	music|音乐
bn:00105610a	brown|褐 yellow|黄
bn:00102869a	fertile|沃 many|多
bn:00111537a	RelatingToCountry|与特定国家相关 Sweden|瑞典
bn:00109320a	Attribute|属性
bn:00106223a	elementary|初等
bn:00100224a	believe|相信 human|人 self|己
bn:00112822a	disadvantageous|有弊
bn:00107627a	PayAttention|注意
bn:00101836a	dizzy|昏迷 drink|喝 alcohol|酒 very|很
bn:00096407a	urgent|急 medical|医
bn:00098581a	red|红
bn:00102820a	big|大 fat|胖 widediameter|粗
bn:00097278a	peaceful|宁 neg|否 uneasy|不安
bn:00100528a	decorate|装饰
bn:00109069a	Occupation|职位
bn:00101181a	part|部件 AnimalHuman|动物
bn:00099878a	shut|关闭
bn:00100391a	document|文书 MakeAppointment|约定
bn:00113316a	wild|野生
bn:00106817a	PropertyValue|特性值 TakeAway|搬动
bn:00098283a	HighQuality|优质 more|较
bn:00103699a	time|时间 past|过去
bn:00098248a	country|国家 Asia|亚洲 politics|政 ProperName|专
bn:00107231a	uneasy|不安
bn:00104562a	unlawful|非法
bn:00097981a	BadTemper|坏脾气 angry|生气
bn:00096457a	BeNear|靠近 near|近
bn:00103087a	believe|相信 easy|易 deceive|欺骗 naif|不精明 protect|保护 entity|实体 able|能 neg|否
bn:00107678a	slanted|歪
bn:00106570a	docile|恭顺 surrender|屈服 modest|谦
bn:00096366a	broad|广 extensive|泛 wide|阔
bn:00100722a	vulgar|俗 coarse|糙 crude|陋 unprocessed|未加工
bn:00102969a	net|净额 last|最后
bn:00099061a	busy|忙
bn:00098466a	bitter|苦 sweet|甜
bn:00111322a	part|部件 bone|骨 thing|万物
bn:00101902a	durable|牢 TimeLong|长时间
bn:00111220a	disease|疾病 labour|临产
bn:00112306a	true|真 lucid|清晰 unable|庸 refute|反驳
bn:00107152a	NaturalThing|天然物 natural|天然 original|原
bn:00104931a	durable|牢 withstand|抗住
bn:00106059a	negligible|渺 few|少 small|小
bn:00098832a	easy|易 break|折断
bn:00106334a	important|重要 primary|主
bn:00105656a	part|部件 physiology|生理学 mouth|口 AnimalHuman|动物
bn:00106773a	nonextensive|狭 small|小 negligible|渺 few|少
bn:00102500a	over|超 rash|莽 unreasonable|不合理 improper|不当
bn:00104588a	tender|嫩 child|少儿 unripe|未成熟
bn:00102268a	big|大 strong|强
bn:00100184a	arrogant|傲
bn:00100334a	PropertyValue|特性值 fixed|已定
bn:00101179a	dense|密 NotLight|浓 concentrated|稠 exuberant|茂
bn:00106660a	knowledge|知识
bn:00096188a	steep|陡 threatening|险
bn:00101405a	affairs|事务 place|地方 country|国家 politics|政 diplomatic|外交
bn:00114022a	thinking|思想 diplomatic|外交 politics|政 RelatingToCountry|与特定国家相关 Jew|犹太人
bn:00107791a	InFront|前 past|过去 used|旧
bn:00096569a	need|需求 gas|气
bn:00099977a	curved|弯
bn:00100150a	complicated|繁 difficult|难
bn:00109070a	permanent|永久性 Occupation|职位
bn:00102336a	equal|相等
bn:00111488a	able|能 enrich|充实
bn:00100108a	system|制度
bn:00108996a	affected|矫揉造作 PropertyValue|特性值 pretend|假装
bn:00102356a	righteous|正义 fair|公正 reasonable|合理
bn:00107613a	location|位置 north|北
bn:00106666a	weather|天象
bn:00113120a	insubstantial|空洞
bn:00100897a	RelatingToCountry|与特定国家相关 Denmark|丹麦
bn:00100723a	LowRank|低等 unprocessed|未加工 crude|陋
bn:00098171a	able|能 urge|促使 FondOf|喜欢 beautiful|美 fantastic|非常好 GoodLooking|好看 glorious|荣 interesting|趣 satisfied|满意
bn:00110503a	superficial|浅薄 shallow|浅
bn:00096261a	help|帮助
bn:00105857a	easy|易 read|读
bn:00097485a	unfixed|未定 able|能 debate|辩论
bn:00098935a	brown|褐
bn:00106547a	time|时间 past|过去
bn:00112566a	fair|公正 neg|否
bn:00102440a	earth|大地 Europe|欧洲 ProperName|专 PatternValue|样式值 RelatingToCountry|与特定国家相关
bn:00104922a	FuncWord|功能词 unfixed|未定 vague|含混
bn:00106411a	RangeValue|幅度值 many|多 various|多种
bn:00102344a	alike|似 math|数学 Form|形状
bn:00105419a	RelatingToCountry|与特定国家相关 Ireland|爱尔兰
bn:00100088a	earnest|诚心
bn:00107941a	speak|说
bn:00100158a	mixed|杂 mix|混合 complicated|繁
bn:00110289a	mishap|劫难 shiver|颤动 land|陆地
bn:00103738a	image|图像
bn:00101367a	able|能 digest|消化
bn:00107602a	RelatingToCountry|与特定国家相关 America|美洲
bn:00097788a	RelatingToCountry|与特定国家相关 Austria|奥地利
bn:00099464a	Wisdom|智慧 physiology|生理学
bn:00110978a	RelatingToCountry|与特定国家相关 Spain|西班牙 PatternValue|样式值
bn:00102480a	LookBack|回想
bn:00096618a	spill|溢出 float|漂
bn:00106044a	affairs|事务 literature|文
bn:00111418a	sufficient|足
bn:00096912a	part|部件 physiology|生理学 AnimalHuman|动物
bn:00107771a	public|共 formal|正式
bn:00097646a	able|能 urge|促使 surprise|惊奇 fear|害怕
bn:00096183a	phenomena|现象 expression|词语
bn:00105260a	EachOther|相互 PatternValue|样式值
bn:00101908a	RelatingToCountry|与特定国家相关 Netherlands|荷兰
bn:00103372a	StateChange|态变 OutOfOrder|坏掉
bn:00096424a	fit|适合
bn:00107226a	disease|疾病 part|部件 viscera|脏 physiology|生理学 AnimalHuman|动物 excrete|排泄 excrement|排泄物
bn:00097417a	PropertyValue|特性值 water|水 watery|稀
bn:00100030a	colored|彩
bn:00111267a	direct|直接 straight|直 vertical|纵 upright|正
bn:00104873a	inconvenient|不便
bn:00103195a	over|超 powerful|有威力 strong|强 sturdy|健壮
bn:00101878a	NotQuick|讷 blunt|钝 stiff|呆
bn:00107668a	docile|恭顺
bn:00096789a	alive|活着 animate|有生命
bn:00103832a	guilty|有罪 shy|羞愧
bn:00097405a	proper|当
bn:00101078a	defend|防守 able|能
bn:00096562a	permanent|永久性 TimeLong|长时间 extensive|泛
bn:00106871a	RelatingToCountry|与特定国家相关 Mongolia|蒙古
bn:00098320a	colored|彩
bn:00099989a	indifferent|冷漠 cold|冷
bn:00112139a	part|部件 hot|热 earth|大地
bn:00101154a	fierce|暴 vicious|罪恶
bn:00101936a	StageEarly|早期 early|早
bn:00112223a	ugly|丑 unsightly|难看 disgust|厌恶
bn:00102991a	few|少
bn:00113329a	difficult|难 believe|相信
bn:00102891a	part|部件 bone|骨 physiology|生理学 AnimalHuman|动物
bn:00105850a	law|律法 police|警 politics|政 lawful|合法
bn:00106726a	affairs|事务 military|军 RoleValue|功用值
bn:00109166a	place|地方 provincial|省 AttachmentValue|归属值
bn:00109919a	passionate|有情
bn:00102512a	alone|独自 AttachmentValue|归属值
bn:00100363a	arrogant|傲 PropertyValue|特性值 PlayDown|贬低 despise|轻视
bn:00100194a	thinking|思想 general|共通
bn:00111325a	FormValue|形状值
bn:00098269a	dizzy|昏迷 drink|喝 alcohol|酒 very|很
bn:00099180a	disease|疾病 swollen|肿胀 medical|医 control|控制
bn:00100348a	BestQuality|最佳 able|能 refined|精
